Frontside,Flipside,Category,Level
"rawm","lightning ([general term])","substantive (noun)","0"
"<u>rawm</u>pxom","thunder and lightning","substantive (noun)","0"
"rawn","replace | substitute","verb, transitive","0"
"rawng","entrance | doorway","substantive (noun)","0"
"rawp","bladder polyp | [Polypiferus brevisimus]","substantive (noun)","0"
"rä<u>'ä</u>","do not! ([for negative imperatives and commands only])","particle","0"
"räp<u>tum</u>","coarse | vulgar | socially unacceptable","adjective","0"
"<u>re</u>'o","head","substantive (noun)","0"
"rel","image | picture","substantive (noun)","0"
"rel aru<u>sikx</u>","movie | film | video | ([lit.:] moving picture)","substantive (noun)","0"
"<u>rel</u>tseo","visual art","substantive (noun)","0"
"<u>rel</u>tseotu","artist","substantive (noun)","0"
"<u>rel</u>vul","pen | pencil","substantive (noun)","0"
"rem","fuel","substantive (noun)","0"
"<u>ren</u>ten","goggles | ([made from insect wings, carved from wood, etc])","substantive (noun)","0"
"<u>re</u>nu","pattern","substantive (noun)","0"
"<u>re</u>nu ngampamä","rhyme scheme","substantive (noun)","0"
"<u>re</u>nulke","irregular | random","adjective","0"
"reng","shallow ([physically, sometimes used metaphorically for thoughts, ideas, analyses, etc.])","adjective","0"
"<u>re</u>ngop","design ([for finer details])","verb, transitive","0"
"<u>re</u>won","morning","substantive (noun)","0"
"rewo<u>nam</u>","yesterday morning","adverb","0"
"rewo<u>nam</u>","yesterday morning (the morning yesterday)","substantive (noun)","0"
"rewo<u>nay</u>","tomorrow","adverb","0"
"rewo<u>nay</u>","tomorrow (the morning tomorrow)","substantive (noun)","0"
"rey","live","verb, intransitiv","0"
"rey<u>'eng</u>","the Balance of Life","substantive (noun)","0"
"<u>rey</u>fya","way of living | culture","substantive (noun)","0"
"rey<u>kol</u>","play music ([poetic]) | play an instrument ([poetic])","verb, transitive","0"
"reym","dry land | ([refers specifically to dry land as distinct from water])","substantive (noun)","0"
"<u>rey</u>pay","blood","substantive (noun)","0"
"<u>rey</u>paytun","red | ([blood red])","adjective","0"
"rikx","move | shift position","verb, intransitiv","0"
"rim","yellow","adjective","0"
"<u>rim</u>pin","([the color]) yellow","substantive (noun)","0"
"ri<u>na'</u>","seed","substantive (noun)","0"
"<u>ri</u>ni","[female name]","proper noun","0"
"ripx","pierce","verb, transitive","0"
"<u>ri</u>ti","stingbat | [Scorpiobattus volansii]","substantive (noun)","0"
"<u>rì</u>'ìr","reflection","substantive (noun)","0"
"<u>rì</u>'ìr si","reflect | imitate","verb, intransitiv","0"
"rìk","leaf","substantive (noun)","0"
"<u>rìk</u>ean","green | leaf green","adjective","0"
"rì<u>kxi</u>","tremble | shake | shiver","verb, intransitiv","0"
"rìn","wood","substantive (noun)","0"
"ro","at ([locative])","adposition","0"
"<u>ro</u>'a","be impressive | inspire awe or respect","verb, intransitiv","0"
"<u>ro</u>fa","beside | alongside","adposition","0"
"rol","sing","verb","0"
"ro<u>lun</u>","Eureka! | I've found it!","interjection","0"
"ronal","[female name]","proper noun","0"
"<u>ron</u>sem","mind","substantive (noun)","0"
"<u>ron</u>srel","something imagined","substantive (noun)","0"
"<u>ron</u>srelngop","imagine | envision","verb, transitive","0"
"rong","tunnel","substantive (noun)","0"
"<u>rong</u>loa","[clan name]","proper noun","0"
"ro<u>ngu</u>way","howl","verb, intransitiv","0"
"ro<u>ngu</u>wayyu","howler","substantive (noun)","0"
"ropx","hole ([going clear through an object])","substantive (noun)","0"
"rotxo","[male name]","proper noun","0"
"<u>ro</u>u","be drunk | get drunk","verb, intransitiv","0"
"rum","ball","substantive (noun)","0"
"<u>ru</u>maut","cannonball fruit tree | [ecdurus putamen pomus]","proper noun","0"
"<u>rum</u>ut","puffball tree | [Obesus rotundus]","substantive (noun)","0"
"run","find | discover","verb, transitive","0"
"ru<u>rur</u>","waterfall | ([water that is aeriated while flowing among the rocks of a very gradually sloping stream]) | ([uncountable])","substantive (noun, uncountable)","0"
"ru<u>sey</u>","alive","adjective","0"
"ru<u>sey</u>","living thing | the living","substantive (noun)","0"
"ru<u>txe</u>","please","interjection","0"
"sa","rise to a challenge","verb, intransitiv","0"
"sa<u>'ew</u>rang","mother loom | giant loom","substantive (noun)","0"
"<u>sa'</u>nok","mother","substantive (noun)","0"
"<u>sa'</u>nu","mum | mommy","substantive (noun)","0"
"<u>sa'</u>sem","parent | set of parents","substantive (noun)","0"
"sa<u>'u</u>","those (things) | ([short plural of] tsa'u)","demonstrative pronouns","0"
"saa","[threatening cry]","interjection","0"
"saeyla","[female name]","proper noun","0"
"sa<u>ho</u>","prayer","substantive (noun)","0"
"sa<u>lew</u>","proceed | go | ([also used for telling the age of a person])","verb","0"
"sa<u>lew</u>fya","direction | course","substantive (noun)","0"
"san","[particle to start direct speech] | [beginning of a quote] | 'saying'","particle","0"
"sang","warm","adjective","0"
"sar","use","verb, transitive","0"
"sa<u>tu'</u>li","heritage","substantive (noun)","0"
"sa<u>u</u>","[exclamation upon exertion] | 'urgh'","interjection","0"
"say<u>la</u>he","et cetera | etc. | [abbreviated in writing as:] sl.","adverb","0"
"<u>say</u>rìp","handsome | good looking ([mainly for male])","adjective","0"
"sä<u>'an</u>la","yearning","substantive (noun)","0"
"sä<u>'e</u>oio","ceremony | ritual | rite","substantive (noun)","0"
"sä<u>'e</u>oio si","take part in a ceremony | perform a ritual","verb, intransitiv","0"
"sä<u>'i</u>pu","something humorous","substantive (noun)","0"
"<u>sä</u>'o","tool | utensil","substantive (noun)","0"
"sä<u>fe</u>'ul","worsening ([specific instance])","substantive (noun)","0"
"sä<u>flä</u>","success | (an instance of) success","substantive (noun)","0"
"sä<u>fmi</u>","attempt, the","substantive (noun)","0"
"sä<u>fngo'</u>","requirement | demand","substantive (noun)","0"
"sä<u>fpìl</u>","idea | thought","substantive (noun)","0"
"sä<u>frìp</u>","a bite","substantive (noun)","0"
"säftxu<u>lì</u>'u","speech | oration","substantive (noun)","0"
"sä<u>fyep</u>","handle  | grip | ([part of an object where one holds it])","substantive (noun)","0"
"sä<u>he</u>'a","a cough | instance of coughing","substantive (noun)","0"
"sä<u>he</u>na","container | vessel | carrier","substantive (noun)","0"
"sä<u>ka</u>nom","something acquired | an acquisition | a possession","substantive (noun)","0"
"sä<u>kxa</u>nge","a yawn","substantive (noun)","0"
"sä<u>lang</u>","exploration | investigation","substantive (noun)","0"
"sä<u>la</u>tem","(instance of) change | edit | modification","substantive (noun)","0"
"sälä<u>txayn</u>","defeat | an instance of defeat","substantive (noun)","0"
"säleym<u>fe'</u>","complaint","substantive (noun)","0"
"säleym<u>kem</u>","protest | instance of protesting","substantive (noun)","0"
"sä<u>lipx</u>","a drip (of a liquid)","substantive (noun)","0"
"sä<u>mok</u>","suggestion  | (a concrete instance of) suggesting","substantive (noun)","0"
"sä<u>mu</u>nge","transportation tool | transportation device | ([any object used to carry or transport s.t. else])","substantive (noun)","0"
"säm<u>yam</u>","hug | embrace","substantive (noun)","0"
"sä<u>nrr</u>","glow | an instance of glowing | light source | lamp","substantive (noun)","0"
"sä<u>nu</u>i","failure ([particular instance of failure])","substantive (noun)","0"
"sä<u>nu</u>me","teaching | instruction","substantive (noun)","0"
"sä<u>nu</u>me si","teach | instruct | give instruction","verb, intransitiv","0"
"sä<u>num</u>vi","lesson","substantive (noun)","0"
"sängä<u>'än</u>","bout of suffering | episode of depression","substantive (noun)","0"
"sä<u>ngop</u>","creation","substantive (noun)","0"
"sä<u>o</u>mum","(piece of) information ([countable])","substantive (noun)","0"
"säpeng<u>hrr</u>","warning","substantive (noun)","0"
"säpll<u>hrr</u>","warning","substantive (noun)","0"
"säpll<u>txe</u>","statement","substantive (noun)","0"
"säpll<u>txe</u>vi","comment","substantive (noun)","0"
"sä<u>pom</u>","kiss","substantive (noun)","0"
"sä<u>rawn</u>","replacement | substitute | something that replaces something else","substantive (noun)","0"
"sä<u>re</u>ngop","design ([particular instance of designing])","substantive (noun)","0"
"sä<u>ro</u>'a","feat | accomplishment | great deed","substantive (noun)","0"
"sä<u>ro</u>'a si","do great deeds","verb, intransitiv","0"
"säsey<u>to</u>","butchering tool","substantive (noun)","0"
"säsìl<u>pey</u>","hope ([particular instance])","substantive (noun)","0"
"sä<u>spxin</u>","disease | sickness | illness","substantive (noun)","0"
"sä<u>spxin</u>tsyìp","minor ailment","substantive (noun)","0"
"sä<u>srätx</u>","annoyance","substantive (noun)","0"
"säsrese<u>'a</u>","prediction","substantive (noun)","0"
"sä<u>srìn</u>","lent thing | borrowed thing","substantive (noun)","0"
"sä<u>star</u>sìm","collection ([put together intentionally by someone])","substantive (noun)","0"
"sä<u>su</u>lìn","hobby | pleasureyielding activity","substantive (noun)","0"
"sä<u>syep</u>","trap","substantive (noun)","0"
"sä<u>ta</u>re","connection | relationship","substantive (noun)","0"
"sä<u>ta</u>ron","hunt","substantive (noun)","0"
"sä<u>tsan</u>'ul","improvement ([specific instance])","substantive (noun)","0"
"sä<u>tse</u>ri","observation | something noticed","substantive (noun)","0"
"sä<u>tsì</u>syì","whisper","substantive (noun)","0"
"sä<u>tsway</u>on","flight | an instance of flying","substantive (noun)","0"
"sä<u>tsyìl</u>","climbing event | a climb","substantive (noun)","0"
"sä<u>vll</u>","sign | indication | signal","substantive (noun)","0"
"sä<u>wä</u>sul","a competition | ([a particular instance of competing])","substantive (noun)","0"
"sä<u>wä</u>sultsyìp","contest","substantive (noun)","0"
"säwä<u>te</u>","point of contention | source of argument | thing disputed","substantive (noun)","0"
"sä<u>wem</u>","fight","substantive (noun)","0"
"säwìn<u>txu</u>","showing | exhibition","substantive (noun)","0"
"säwì<u>ngay</u>","proof ([particular instance])","substantive (noun)","0"
"sä<u>yäkx</u>","snub","substantive (noun)","0"
"sä<u>zä</u>rìp","face lead | rein","substantive (noun)","0"
"se<u>'ayl</u>","waterfall | ([individual tall, thin waterfall that pours down a sheer high cliff, or off of a floating mountain]) | ([countable])","substantive (noun)","0"
"<u>se</u>krr","present","substantive (noun)","0"
"sem<u>kä</u>","bridge","substantive (noun)","0"
"<u>sem</u>pu","daddy | dad","substantive (noun)","0"
"<u>sem</u>pul","father","substantive (noun)","0"
"set","now","adverb","0"
"se<u>vin</u>","pretty ([mainly for female])","adjective","0"
"sey","cup | bowl | ([minimally modified from naturally occurring resources])","substantive (noun)","0"
"sey<u>kxel</u>","strong ([emotionally, spiritually]) | confident","adjective","0"
"seyn","chair | stool | bench | [any tool or device to facilitate sitting]","substantive (noun)","0"
"<u>sey</u>ri","lip","substantive (noun)","0"
"seysonìl<u>tsan</u>","well done!","interjection","0"
"sey<u>to</u>","butcher | [separating or processing the carcass of a dead animal]","verb, transitive","0"
"<u>se</u>ze","[name of Neytiri's ikran] | [meaning:] blue flower","proper noun","0"
"si","[auxiliary verb! postpositional nonbound verb 'do, make']","verb","0"
"sim","near | be near","verb, intransitiv","0"
"sì","and ([for enumerations])","conjunction","0"
"sìk","[particle to end direct speech] | 'end of a quote' | 'unquote'","particle","0"
"sìl<u>pey</u>","hope ([with] tsnì [in subordinate clause, unless in independent clause])","verb, intransitiv","0"
"sìl<u>ron</u>sem","clever | smart ([of things])","adjective","0"
"sìl<u>tsan</u>","good (of its kind) | well done","adjective","0"
"sìn","on | onto","adposition","0"
"ska<u>'a</u>","destroy","verb, transitive","0"
"<u>ske</u>pek","formal","adjective","0"
"<u>ski</u>empa","right side","substantive (noun)","0"
"<u>ski</u>en","right (not left) ([direction])","adjective","0"
"sko","(s.t./s.o.) as (s.t./s.o. else) | in the capacity of | in the role of","adposition","0"
"<u>sku</u>ka","Sagittaria | ([cephalopod-like aquatic creature with a hard shell and long tentacles])","proper noun","0"
"<u>skxa</u>kep","probably | likely","adverb","0"
"<u>skxa</u>kep","probable | likely","adjective","0"
"skxawng","moron | idiot","substantive (noun)","0"
"skxir","wound","substantive (noun)","0"
"skxir si","wound (someone/something)","verb, intransitiv","0"
"<u>skxir</u>tsyìp","cut | bruise | minor wound","substantive (noun)","0"
"skxom","chance | opportunity","substantive (noun)","0"
"<u>sla'</u>tsu","describe","verb, transitive","0"
"slan","support (someone) ([emotional, social or personal])","verb, transitive","0"
"slanti<u>re</u>","inspiration","substantive (noun)","0"
"slanti<u>re si</u>","inspire","verb, intransitiv","0"
"slayk","brush | comb","verb, transitive","0"
"slä","but","conjunction","0"
"<u>slä</u>kop","but also ([used with:] ken'aw)","adverb","0"
"slär","cave","substantive (noun)","0"
"<u>sle</u>le","swim","verb, intransitiv","0"
"sley<u>ku</u>","produce | make become","verb, transitive","0"
"<u>slo</u>a","wide","adjective","0"
"slo<u>an</u>","pour","verb, transitive","0"
"slo<u>snep</u>","width","substantive (noun)","0"
"slu","become","verb, intransitiv","0"
"slu leyr","(s.t.) freezes","verb, intransitiv","0"
"slukx","horn ([of an animal])","substantive (noun)","0"
"sma<u>o</u>e","phalanxia | heavily thorned plant | [Phalanxia ferox]","substantive (noun)","0"
"smar","prey | hunted thing","substantive (noun)","0"
"smaw","approve of","verb, transitive","0"
"smon","be familiar | be known","verb, intransitiv","0"
"<u>sna</u>'o","set | group | pile | clump | stand","substantive (noun)","0"
"sna<u>fpìl</u>fya","philosophy | [lit.:] 'group of mindsets'","substantive (noun)","0"
"snanumul<u>txa</u>","course | collection of classes","substantive (noun)","0"
"snapam<u>rel</u>vi","alphabet","substantive (noun)","0"
"snatan<u>hì</u>","constellation | clump of stars","substantive (noun)","0"
"snatan<u>hì</u>tsyìp","star cluster","substantive (noun)","0"
"sna<u>txä</u>rem","skeleton | set of bones","substantive (noun)","0"
"sna<u>yì</u>","staircase | series of step-like levels","substantive (noun)","0"
"<u>snay</u>tu","loser","substantive (noun)","0"
"snaytx","lose ([game, fight])","verb, transitive","0"
"snäm","rot | decay | degrade over time | ([of objects and skills])","verb, intransitiv","0"
"snep","narrow","adjective","0"
"snew","constrict | tighten","verb, transitive","0"
"<u>snew</u>sye","spooky | weird","adjective","0"
"<u>sne</u>yä","[reflexive 3rd person genitive pronoun] | his own | her own | its own | their own","possessive pronouns","0"
"sno","[reflexive 3rd person pronoun] | his self | her self | its self | their self","personal pronouns","0"
"<u>snok</u>fyan","personal belongings rack","substantive (noun)","0"
"<u>sno</u>lup","personal style | personal aesthetic | presence","substantive (noun)","0"
"<u>sno</u>mo","private space ([that one can retreat to]) | [also:] room","substantive (noun)","0"
"<u>sno</u>nivi","single-person hammock","substantive (noun)","0"
"sno<u>nrr</u>a","self-pride [(negative)] | arrogance","substantive (noun)","0"
"sno<u>tipx</u>","self-control","substantive (noun)","0"
"<u>snu</u>mìna","dim ([of intelligence])","adjective","0"
"sngap","sting","verb, transitive","0"
"<u>sngä</u>'i","begin | start","modal verb, intransitive","0"
"<u>sngä</u>'ikrr","beginning | starting time","substantive (noun)","0"
"<u>sngä</u>'itseng","beginning | starting position | initial location","substantive (noun)","0"
"<u>sngä</u>'iyu","beginner","substantive (noun)","0"
"sngel","garbage | trash | rubbish","substantive (noun)","0"
"<u>sngel</u>tseng","rubbish place | garbage dump","substantive (noun)","0"
"sngukx","grub plant | [Limacina erecta]","substantive (noun)","0"
"sngum","worry | anxiety | concern","substantive (noun)","0"
"sngum si","worry","verb, intransitiv","0"
"<u>sngum</u>tsim","worrisome matter | source of worry","substantive (noun)","0"
"<u>sngu</u>nga'","worrisome | troubling","adjective","0"
"<u>so'</u>ha","be enthusiastic about | show enthusiasm for | be excited about","verb, transitive","0"
"<u>so'</u>yu","fan  | enthusiast | [colloquial form of] txanso'hayu","substantive (noun)","0"
"so<u>a</u>ia","family (irregular genitive form soaiä)","substantive (noun)","0"
"sok","recent","adjective","0"
"som","hot","adjective","0"
"<u>som</u>tìlor","popsicle | [lit.:] hot beauty | [Capsulatum virgatum]","substantive (noun)","0"
"som<u>wew</u>","temperature","substantive (noun)","0"
"sop","travel","verb, intransitiv","0"
"<u>sop</u>yu","traveller","substantive (noun)","0"
"so<u>rewn</u>","[female name]","proper noun","0"
"so<u>sul</u>","([pleasant smell of nearby running water, rain, moist vegetation])","adjective","0"
"spaw","believe","verb, transitive","0"
"spä","jump","verb","0"
"spe<u>'e</u>","capture","verb, transitive","0"
"spe<u>'e</u>tu","captive","substantive (noun)","0"
"speng","restore","verb, transitive","0"
"<u>spo</u>no","island","substantive (noun)","0"
"<u>spu</u>le","propel","verb, transitive","0"
"spul<u>mok</u>ri","telephone | [lit.:] propel voice","substantive (noun)","0"
"spulya<u>ney</u>","canoe paddle","substantive (noun)","0"
"<u>spu</u>win","old ([compare] koak) | former","adjective","0"
"spxam","mushroom | fungus","substantive (noun)","0"
"spxin","sick","adjective","0"
"srak","[marker for yes/no questions at the end of a sentence]","particle","0"
"<u>sra</u>kat","dinicthoid | ([large piranha-like aquatic creature that lives in Pandora's lakes and murky lowland drainages])","proper noun","0"
"<u>sra</u>ke","[marker for yes/no questions at the beginning of a sentence]","particle","0"
"sran","yes ([colloquial]) | yeah","interjection","0"
"<u>sra</u>ne","yes","interjection","0"
"sran<u>ke</u>he","more or less | somewhat | yes and no | kind of","interjection","0"
"sraw","painful","adjective","0"
"srä","cloth ([piece of cloth woven on a loom])","substantive (noun)","0"
"srätx","annoy | bother","verb, transitive","0"
"sre","before ([time])","adposition","0"
"sre'","tooth","substantive (noun)","0"
"sreferei<u>ey nì</u>prrte'","looking forward to it","other/unknown","0"
"sre<u>fey</u>","expect ([optionally with] tsnì [for subordinate clause])","verb","0"
"sre<u>fpìl</u>","assume | presume | ([transitive and intransitive, intransitively used with:] tsnì)","verb","0"
"<u>sre</u>fwa","before","conjunction","0"
"sre<u>kam</u>trr","the time before noon","substantive (noun)","0"
"sre<u>kam</u>txon","before midnight","substantive (noun)","0"
"sre<u>krr</u>","before | already | ahead of time","adverb","0"
"srer","appear | materialize | come into view","verb, intransitiv","0"
"srese<u>'a</u>","prophesize | prophetize | prophecy | predict","verb, transitive","0"
"sresrr<u>'ong</u>","before dawn","substantive (noun)","0"
"sreton<u>'ong</u>","dusk | evening before sunset","substantive (noun)","0"
"srew","dance","verb, intransitiv","0"
"srey","version","substantive (noun)","0"
"srìn","temporarily transfer from one to another ([rarely used on its own])","verb, transitive","0"
"srok","bead ([decorative])","substantive (noun)","0"
"sru'","crush | trample","verb, transitive","0"
"srung","help | assistance","substantive (noun)","0"
"srung si","help","verb, intransitiv","0"
"<u>sru</u>nga'","helpful","adjective","0"
"<u>srung</u>siyu","assistant | helper","substantive (noun)","0"
"<u>srung</u>tsyìp","helpful hint | tip","substantive (noun)","0"
"<u>star</u>lì'u","adposition","substantive (noun)","0"
"<u>star</u>sìm","gather | collect","verb, transitive","0"
"stawm","hear","verb, transitive","0"
"<u>stawm</u>tswo","hearing | sense of hearing","substantive (noun)","0"
"<u>stä'</u>nì","catch","verb, transitive","0"
"<u>stä'</u>nìpam","recording","substantive (noun)","0"
"<u>stä'</u>nìpam si","record | make a recording","verb, intransitiv","0"
"ste<u>ftxaw</u>","examine | check","verb, transitive","0"
"steng","similar","adjective","0"
"stey<u>ki</u>","anger | make someone angry","verb, transitive","0"
"sti","be angry","verb, intransitiv","0"
"<u>sti</u>wi","mischief","substantive (noun)","0"
"<u>sti</u>wi si","be naughty | do mischief","verb, intransitiv","0"
"<u>sti</u>winga'","mischievous","adjective","0"
"<u>sti</u>wisiyu","mischief-maker","substantive (noun)","0"
"sto","refuse ([to do something])","modal verb, transitive","0"
"stum","almost","adverb","0"
"<u>stxe</u>li","gift","substantive (noun)","0"
"<u>stxe</u>nu","offer","substantive (noun)","0"
"<u>stxe</u>nutìng","offer","verb, transitive","0"
"stxong","strange | unfamiliar | unknown | ([of something that appears threatening or dangerous])","adjective","0"
"<u>su</u>lìn","be busy ([positive sense]) | be engrossed in something one finds especially pleasant and energizing","verb, intransitiv","0"
"sum","shell ([from the ocean])","substantive (noun)","0"
"<u>sum</u>sey","drinking vessel | ([made of shell])","substantive (noun)","0"
"<u>sun</u>kesun","like it or not","adverb","0"
"<u>su</u>nu","be pleasing | be likeable | bring enjoyment | like","verb, intransitiv","0"
"sung","add","verb, transitive","0"
"sur","taste | flavor","substantive (noun)","0"
"su<u>syang</u>","fragile | delicate","adjective","0"
"sutx","track | follow | lock up","verb, transitive","0"
"swaw","moment","substantive (noun)","0"
"<u>sway</u>nivi","family hammock","substantive (noun)","0"
"swek","bar | rod | pole","substantive (noun)","0"
"sweriye","Sweden","substantive (noun)","0"
"swey","best","adjective","0"
"<u>swey</u>lu","should","verb, intransitiv","0"
"swi<u>rä</u>","creature","substantive (noun)","0"
"swi<u>zaw</u>","arrow","substantive (noun)","0"
"swi<u>zaw</u>sena","quiver ([attached to the ikran\'s saddle]) | [often shortened to] zawsena","substantive (noun)","0"
"<u>swo</u>a","intoxicating beverage | "spirits"","substantive (noun)","0"
"<u>swo</u>asey","kava bowl ([hand-sized]) | ([constructed from seed pods, used for drinking intoxicating beverages])","substantive (noun)","0"
"<u>swo</u>asey a<u>yll</u>","large social kava bowl","substantive (noun)","0"
"swok","sacred","adjective","0"
"<u>swo</u>tu","sacred place","substantive (noun)","0"
"<u>swo</u>tu wayä","Sacred Place of Song | ([situated in the Valley of Mo'ara])","proper noun","0"
"<u>swo</u>tulu","sacred river ([proper name])","substantive (noun)","0"
"syak<u>syuk</u>","prolemuris | ([lemur-like animal on Pandora]) [Prolemuris noctis]","substantive (noun)","0"
"syam","smell | take a smell | take a sniff","verb, transitive","0"
"<u>sya</u>nan","waterfall | ([a single drop or series of smaller waterfalls occurring sequentially along a stream or series of pools]) | ([countable])","substantive (noun)","0"
"syaw","call","verb, intransitiv","0"
"syawn","blessing","substantive (noun)","0"
"syay","fate","substantive (noun)","0"
"<u>syay</u>vi","luck | chance","substantive (noun)","0"
"<u>syä</u>'ä","bitter ([of taste and smell])","adjective","0"
"<u>sye</u>'otxang","wind instrument","substantive (noun)","0"
"<u>sye</u>ha","breath","substantive (noun)","0"
"<u>sye</u>ha si","breathe","verb, intransitiv","0"
"syen","last ([in series]) | final","adjective","0"
"syep","trap (someone/something)","verb, transitive","0"
"syep<u>rel</u>","camera | [lit.:] trap image","substantive (noun)","0"
"<u>syep</u>tute","hyneman | [lit.:] person trapper | [Pandoratonia myopora]","substantive (noun)","0"
"<u>sye</u>we","fat ([substance in meat])","substantive (noun)","0"
"<u>sye</u>wenga'","fatty","adjective","0"
"syo","light ([physical weight]) | lightweight","adjective","0"
"syo<u>kup</u>","weight ([physical])","substantive (noun)","0"
"syon","feature | trait | attribute | characteristic | point | aspect | facet | property","substantive (noun)","0"
"<u>syon</u>lì'u","adjective","substantive (noun)","0"
"syor","relax | chill out","verb, intransitiv","0"
"<u>syu</u>lang","flower","substantive (noun)","0"
"syu<u>ra</u>","energy ([physical or spiritual])","substantive (noun)","0"
"syu<u>ra</u>tan","bioluminescence","substantive (noun)","0"
"<u>syu</u>smung","tray","substantive (noun)","0"
"<u>syu</u>ve","food ([collective noun, uncountable])","substantive (noun, uncountable)","0"
"<u>syu</u>vekel","famine","substantive (noun)","0"
"ta","from ([locative]) | since ([temporal with words of time])","adposition","0"
"ta<u>'em</u>","from above","adverb","0"
"<u>ta'</u>leng","skin","substantive (noun)","0"
"<u>ta'</u>lengean","skin blue","adjective","0"
"ta<u>fkip</u>","from up among","adposition","0"
"ta<u>fral</u>","therefore | because of that","adverb","0"
"ta<u>kip</u>","from among","adposition","0"
"ta<u>krr</u>a","since ([temporal])","conjunction","0"
"tak<u>syokx</u>","clap hands | give a hand","verb, intransitiv","0"
"<u>ta</u>kuk","strike | beat | slap","verb, transitive","0"
"takuk","[male name]","proper noun","0"
"<u>ta</u>lioang","sturmbeest | [Bovindicum monocerii]","substantive (noun)","0"
"ta<u>lun</u>","because | from the reason | ([short form of] taluna)","conjunction","0"
"ta<u>lun</u>","because of","adposition","0"
"ta<u>lun</u>a","because | from the reason","conjunction","0"
"tam","okay | that's alright | that will do","interjection","0"
"tam","suffice | be enough","verb, intransitiv","0"
"tan<u>hì</u>","star | bioluminescent freckle","substantive (noun)","0"
"<u>tan</u>leng","bark ([of a tree])","substantive (noun)","0"
"<u>ta</u>ngek","trunk ([of a tree])","substantive (noun)","0"
"<u>ta</u>re","connect | relate to | have a relationship with","verb, transitive","0"
"<u>tar</u>nioang","predator animal","substantive (noun)","0"
"<u>ta</u>ron","hunt","verb, transitive","0"
"<u>ta</u>ronyu","hunter","substantive (noun)","0"
"<u>tar</u>pongu","hunting party","substantive (noun)","0"
"<u>ta</u>tep","lose track | lose awareness of something","verb, transitive","0"
"tat<u>lam</u>","apparently","adverb","0"
"<u>ta</u>utral","sky tree","substantive (noun)","0"
"taw","sky","substantive (noun)","0"
"ta<u>weyk</u>","because | based on the cause | ([short form of] taweyka)","conjunction","0"
"ta<u>wey</u>ka","because | based on the cause","conjunction","0"
"taw<u>ka</u>mi","[clan name]","proper noun","0"
"tawng","duck | dive","verb, intransitiv","0"
"<u>taw</u>sìp","skyship","substantive (noun)","0"
"taw<u>snrr</u>tsyìp","Alpha Centauri C | Proxima Centauri | ([often shortened to] Snrrtsyìp)","proper noun","0"
"tawsyu<u>ra</u>tan","aurora","substantive (noun)","0"
"<u>taw</u>tute","Skyperson | human","substantive (noun)","0"
"<u>taw</u>tsngal","panopyra | [lit.:] sky cup | [Panopyra aerii]","substantive (noun)","0"
"<u>taw</u>txew","horizon | skyline","substantive (noun)","0"
"tayrangi","[clan name]","proper noun","0"
"tä<u>ftxu</u>","weave","verb, transitive","0"
"tä<u>ftxu</u>yu","weaver","substantive (noun)","0"
"tä<u>txaw</u>","return","verb, intransitiv","0"
"te","of, from ([used in full names])","particle","0"
"<u>tek</u>re","skull","substantive (noun)","0"
"tel","receive","verb, transitive","0"
"te<u>lem</u>","cord","substantive (noun)","0"
"tem","shoot","verb, intransitiv","0"
"tem<u>rey</u>","survival","substantive (noun)","0"
"teng","same | equal","adjective","0"
"<u>teng</u>fya","as | same way as ([situational similarity])","conjunction","0"
"teng<u>krr</u>","while | same time as","conjunction","0"
"te<u>ri</u>","about | concerning","adposition","0"
"<u>ter</u>kup","die","verb, intransitiv","0"
"te<u>swo</u>tìng","grant","verb, transitive","0"
"<u>te</u>te","dull ([e.g. of a blade])","adjective","0"
"tewng","loincloth","substantive (noun)","0"
"<u>tew</u>ti","wow | [expression of surprise and pleasure]","interjection","0"
"te<u>ya</u>","full","adjective","0"
"te<u>ya si</u>","fill | make full | [fig.]: to be filled ([with joy])","verb, intransitiv","0"
"<u>tey</u>lu","beetle larva","substantive (noun)","0"
"<u>tey</u>lupil","[teylu] face | ([an insult])","substantive (noun)","0"
"<u>tey</u>nga","[relative pronoun to reported or indirect question] | [short from:] tì'eyng a","relative pronouns","0"
"<u>teyng</u>la","[relative pronoun to reported or indirect question of the verb] vin [or] omum | [short from:] tì'eyngìl a","relative pronouns","0"
"<u>teyng</u>ta","[relative pronoun to reported or indirect question of the verb] vin [or] omum | [short from:] tì'eyngit a","relative pronouns","0"
"teyr","white","adjective","0"
"<u>teyr</u>pin","([the color]) white | whiteness","substantive (noun)","0"
"<u>ti</u>am","count","verb, transitive","0"
"til","joint | hinge","substantive (noun)","0"
"<u>ti</u>lì'u","conjunction","substantive (noun)","0"
"<u>ti</u>nan","reading","substantive (noun)","0"
"<u>ti</u>pani","[clan name]","proper noun","0"
"ti<u>re</u>a","spirit","substantive (noun)","0"
"ti<u>re</u>a<u>fya</u>'o","spirit path","substantive (noun)","0"
"ti<u>re</u>aioang","spirit animal","substantive (noun)","0"
"ti<u>re</u>apängkxo","commune","verb","0"
"ti<u>re</u>tu","shaman","substantive (noun)","0"
"tì<u>'al</u>","wastefulness","substantive (noun)","0"
"tì<u>'awm</u>","camping","substantive (noun)","0"
"tì<u>'awm si</u>","camp | make camp","verb, intransitiv","0"
"tì<u>'aw</u>po","individuality ([negative connotation]) | selfishness","substantive (noun)","0"
